1;0;2011-05-15 20:00:00.000000;2011-05-15 20:00:00.000000
2;Canillo;2011-05-15 20:00:00.000001;2011-05-15 20:00:00.000001
3;Encamp;2011-05-15 20:00:00.000002;2011-05-15 20:00:00.000002
4;La Massana;2011-05-15 20:00:00.000003;2011-05-15 20:00:00.000003
5;Ordino;2011-05-15 20:00:00.000004;2011-05-15 20:00:00.000004
6;Sant Julia de Loria;2011-05-15 20:00:00.000005;2011-05-15 20:00:00.000005
7;Andorra la Vella;2011-05-15 20:00:00.000006;2011-05-15 20:00:00.000006
8;Escaldes-Engordany;2011-05-15 20:00:00.000007;2011-05-15 20:00:00.000007
9;Abu Dhabi;2011-05-15 20:00:00.000008;2011-05-15 20:00:00.000008
10;Ajman;2011-05-15 20:00:00.000009;2011-05-15 20:00:00.000009
11;Dubai;2011-05-15 20:00:00.000010;2011-05-15 20:00:00.000010
12;Fujairah;2011-05-15 20:00:00.000011;2011-05-15 20:00:00.000011
13;Ras Al Khaimah;2011-05-15 20:00:00.000012;2011-05-15 20:00:00.000012
14;Sharjah;2011-05-15 20:00:00.000013;2011-05-15 20:00:00.000013
15;Umm Al Quwain;2011-05-15 20:00:00.000014;2011-05-15 20:00:00.000014
16;Badakhshan;2011-05-15 20:00:00.000015;2011-05-15 20:00:00.000015
17;Badghis;2011-05-15 20:00:00.000016;2011-05-15 20:00:00.000016
18;Baghlan;2011-05-15 20:00:00.000017;2011-05-15 20:00:00.000017
19;Bamian;2011-05-15 20:00:00.000018;2011-05-15 20:00:00.000018
20;Farah;2011-05-15 20:00:00.000019;2011-05-15 20:00:00.000019
21;Faryab;2011-05-15 20:00:00.000020;2011-05-15 20:00:00.000020
22;Ghazni;2011-05-15 20:00:00.000021;2011-05-15 20:00:00.000021
23;Ghowr;2011-05-15 20:00:00.000022;2011-05-15 20:00:00.000022
24;Helmand;2011-05-15 20:00:00.000023;2011-05-15 20:00:00.000023
25;Herat;2011-05-15 20:00:00.000024;2011-05-15 20:00:00.000024
26;Kabol;2011-05-15 20:00:00.000025;2011-05-15 20:00:00.000025
27;Kapisa;2011-05-15 20:00:00.000026;2011-05-15 20:00:00.000026
28;Lowgar;2011-05-15 20:00:00.000027;2011-05-15 20:00:00.000027
29;Nangarhar;2011-05-15 20:00:00.000028;2011-05-15 20:00:00.000028
30;Nimruz;2011-05-15 20:00:00.000029;2011-05-15 20:00:00.000029
31;Kandahar;2011-05-15 20:00:00.000030;2011-05-15 20:00:00.000030
32;Kondoz;2011-05-15 20:00:00.000031;2011-05-15 20:00:00.000031
33;Takhar;2011-05-15 20:00:00.000032;2011-05-15 20:00:00.000032
34;Vardak;2011-05-15 20:00:00.000033;2011-05-15 20:00:00.000033
35;Zabol;2011-05-15 20:00:00.000034;2011-05-15 20:00:00.000034
36;Paktika;2011-05-15 20:00:00.000035;2011-05-15 20:00:00.000035
37;Balkh;2011-05-15 20:00:00.000036;2011-05-15 20:00:00.000036
38;Jowzjan;2011-05-15 20:00:00.000037;2011-05-15 20:00:00.000037
39;Samangan;2011-05-15 20:00:00.000038;2011-05-15 20:00:00.000038
40;Sar-e Pol;2011-05-15 20:00:00.000039;2011-05-15 20:00:00.000039
41;Konar;2011-05-15 20:00:00.000040;2011-05-15 20:00:00.000040
42;Laghman;2011-05-15 20:00:00.000041;2011-05-15 20:00:00.000041
43;Paktia;2011-05-15 20:00:00.000042;2011-05-15 20:00:00.000042
44;Khowst;2011-05-15 20:00:00.000043;2011-05-15 20:00:00.000043
45;Nurestan;2011-05-15 20:00:00.000044;2011-05-15 20:00:00.000044
46;Oruzgan;2011-05-15 20:00:00.000045;2011-05-15 20:00:00.000045
47;Parvan;2011-05-15 20:00:00.000046;2011-05-15 20:00:00.000046
48;Daykondi;2011-05-15 20:00:00.000047;2011-05-15 20:00:00.000047
49;Panjshir;2011-05-15 20:00:00.000048;2011-05-15 20:00:00.000048
50;Barbuda;2011-05-15 20:00:00.000049;2011-05-15 20:00:00.000049
51;Saint George;2011-05-15 20:00:00.000050;2011-05-15 20:00:00.000050
52;Saint John;2011-05-15 20:00:00.000051;2011-05-15 20:00:00.000051
53;Saint Mary;2011-05-15 20:00:00.000052;2011-05-15 20:00:00.000052
54;Saint Paul;2011-05-15 20:00:00.000053;2011-05-15 20:00:00.000053
55;Saint Peter;2011-05-15 20:00:00.000054;2011-05-15 20:00:00.000054
56;Saint Philip;2011-05-15 20:00:00.000055;2011-05-15 20:00:00.000055
57;Redonda;2011-05-15 20:00:00.000056;2011-05-15 20:00:00.000056
58;Berat;2011-05-15 20:00:00.000057;2011-05-15 20:00:00.000057
59;Diber;2011-05-15 20:00:00.000058;2011-05-15 20:00:00.000058
60;Durres;2011-05-15 20:00:00.000059;2011-05-15 20:00:00.000059
61;Elbasan;2011-05-15 20:00:00.000060;2011-05-15 20:00:00.000060
62;Fier;2011-05-15 20:00:00.000061;2011-05-15 20:00:00.000061
63;Gjirokaster;2011-05-15 20:00:00.000062;2011-05-15 20:00:00.000062
64;Korce;2011-05-15 20:00:00.000063;2011-05-15 20:00:00.000063
65;Kukes;2011-05-15 20:00:00.000064;2011-05-15 20:00:00.000064
66;Lezhe;2011-05-15 20:00:00.000065;2011-05-15 20:00:00.000065
67;Shkoder;2011-05-15 20:00:00.000066;2011-05-15 20:00:00.000066
68;Tirane;2011-05-15 20:00:00.000067;2011-05-15 20:00:00.000067
69;Vlore;2011-05-15 20:00:00.000068;2011-05-15 20:00:00.000068
70;Aragatsotn;2011-05-15 20:00:00.000069;2011-05-15 20:00:00.000069
71;Ararat;2011-05-15 20:00:00.000070;2011-05-15 20:00:00.000070
72;Armavir;2011-05-15 20:00:00.000071;2011-05-15 20:00:00.000071
73;Geghark'unik';2011-05-15 20:00:00.000072;2011-05-15 20:00:00.000072
74;Kotayk';2011-05-15 20:00:00.000073;2011-05-15 20:00:00.000073
75;Lorri;2011-05-15 20:00:00.000074;2011-05-15 20:00:00.000074
76;Shirak;2011-05-15 20:00:00.000075;2011-05-15 20:00:00.000075
77;Syunik';2011-05-15 20:00:00.000076;2011-05-15 20:00:00.000076
78;Tavush;2011-05-15 20:00:00.000077;2011-05-15 20:00:00.000077
79;Vayots' Dzor;2011-05-15 20:00:00.000078;2011-05-15 20:00:00.000078
80;Yerevan;2011-05-15 20:00:00.000079;2011-05-15 20:00:00.000079
81;Benguela;2011-05-15 20:00:00.000080;2011-05-15 20:00:00.000080
82;Bie;2011-05-15 20:00:00.000081;2011-05-15 20:00:00.000081
83;Cabinda;2011-05-15 20:00:00.000082;2011-05-15 20:00:00.000082
84;Cuando Cubango;2011-05-15 20:00:00.000083;2011-05-15 20:00:00.000083
85;Cuanza Norte;2011-05-15 20:00:00.000084;2011-05-15 20:00:00.000084
86;Cuanza Sul;2011-05-15 20:00:00.000085;2011-05-15 20:00:00.000085
87;Cunene;2011-05-15 20:00:00.000086;2011-05-15 20:00:00.000086
88;Huambo;2011-05-15 20:00:00.000087;2011-05-15 20:00:00.000087
